"id_releve","YR.REL","x_l93","y_l93","ELEV","surface","meta_original_id_rel"
8677644,2020,949669.64,6455580.9,2678,25,NA
8677716,2020,949672.69,6455681.05,2702,25,NA
8677720,2020,949505.44,6455674.32,2801,NA,NA
8677729,2020,950107.8,6455831.97,2498,50,NA
8739713,2000,965402.887,6445199.599,2647,NA,672432
8739725,2000,967907.002,6445101.063,2403,NA,672466
8739728,2000,966866.496,6444327.913,2516,NA,672470
8739736,2000,965936.565,6444793.243,2589,NA,672496
8743011,1993,939959.468,6431442.424,2817,NA,428268
8743523,2008,965866.233,6528815.624,2070,NA,658998
8743828,1993,941378.856,6432015.485,1974,NA,428282
8743916,2009,995347.234,6484712.471,2320,NA,695040
8743931,2008,1009905.882,6508313.356,2476,NA,662776
8743967,2011,1014655.925,6408247.263,2892,NA,873429
8744027,2013,1020485.814,6483060.6444,2464,NA,953998
8744030,2008,1004674.62,6456484.603,2695,20,669812
8744081,2008,1001013.036,6457282.397,2736,NA,660126
8744340,2008,1004004.889,6512766.848,2445,NA,662937
8744863,2009,942946.445,6433207.866,2528,NA,691920
8752028,2014,1002546.453117,6365272.291079,2396,10,989046
8752095,2002,1001605.042,6362599.361,2500,NA,390698
8756920,2014,953589.4722,6447430.2072,2218,25,996998
8757199,2012,937103.3240257,6435582.32305,2332,100,959180
8757220,2013,948683.52,6454103.763,2600,30,954058
8785165,2008,972512.862,6445679.725,2473,50,669740
8785175,2000,969002.439,6446957.29,2475,NA,672574
8785177,2000,966753.029,6446490.031,2702,NA,672609
8791551,2019,1014847.14,6488427.89,2687,NA,1548512
8794965,2000,939704.348,6432919.055,2465,NA,571220
8802329,2008,969708.765,6445925.437,2693,25,669393
8807876,2008,1007866.237,6462825.975,2647,20,669922
8808816,2016,933180.23,6456181.15,2455,20,1205051
8809202,2000,1003072.519,6366982.109,2637,NA,387633
8809421,2011,931441.612,6443513.926,2063,NA,894016
8819494,2010,992178.08,6379044.246,2379,NA,753672
8821505,2011,997143.0018,6544406.5194,2465,25,937318
8823745,2016,1011701.047268,6495215.809622,2461,9,1205610
8824292,2014,1004123.9298,6485215.0878,2558,30,1028162
8826079,2002,955058.66,6415546.869,2273,NA,570586
8826123,2011,1015539.814,6408514.057,2629,NA,873438
8826660,2004,999774.384,6422731.284,2640,NA,574912
8828807,2011,1009566.547,6423354.129,2585,NA,873703
8830041,2012,1015421.13,6408509.02,2622,25,921884
8830065,2012,1015449.21,6408433.87,2629,25,921777
8831434,2002,955085.966,6415785.093,2220,NA,410794
8839794,2012,1015418.12,6408492.44,2622,15,921889
8844071,2016,933122.83,6456354.71,2441,20,1205033
8844583,2002,1002507.208,6363319.344,2456,NA,390062
8844584,2002,1002247.81,6363346.914,2395,NA,390077
8845839,2011,996599.96,6361333.426,2345,NA,874364
8846060,2012,973686.21,6449123.81,2449,100,935401
8846857,1995,999719.102,6367503.986,2420,NA,383096
8847763,2001,998423.152,6358229.546,2383,30,388467
8847767,2001,996704.956,6356785.018,2360,6,388546
8847774,2002,1005306.834,6367679.786,2436,NA,389735
8847778,2002,1001911.467,6363899.315,2252,NA,390011
8847779,2002,1001474.333,6363091.583,2425,NA,390015
8847784,2002,1010016.098,6374898.296,2451,30,390161
8847793,2010,992211.791,6378797.606,2439,NA,753677
8847864,1991,1010866.828,6400604.842,2531,NA,388347
8847923,2002,995235.009,6354188.5,2389,12,390656
8848059,2013,996268.4196,6340997.6808,2280,NA,961451
8848089,2002,1006914.351,6369362.653,2323,NA,389659
8848103,2002,1007808.112,6368579.533,2598,NA,389635
8848105,2002,1007060.786,6369996.427,2469,NA,389757
8848109,2002,1000878.319,6363273.25,2506,NA,390022
8848166,2002,1003698.075,6367655.92,2622,NA,389814
8849167,2016,933218.73,6456553.69,2485,100,1205041
8849583,2008,1001639.822,6457863.26,2849,25,669801
8851037,2014,937521.7695631,6435653.853196,2492,10,1053096
8859046,2014,994072.9823893,6341380.82835,2489,100,1021054
8863673,2019,1015009.01,6488324.96,2710,NA,1548386
8863718,2019,1009043.21,6490024.59,2614,NA,1548519
8867466,2002,955183.92,6417134.708,2281,NA,410765
8869401,2000,967155.242,6446650.396,2624,NA,672562
8873802,2011,998835.066,6395978.058,2439,NA,874517
8876290,2000,968177.758,6446664.48,2528,NA,672646
8877801,2000,965531.854,6445666.321,2625,NA,672410
8877802,2000,965522.69,6445747.966,2630,NA,672411
8877804,2000,965418.566,6445894.581,2654,NA,672414
8877812,2000,967311.812,6445862.771,2803,NA,672442
8877818,2000,967096.447,6445495.335,2627,NA,672453
8877825,2000,965254.355,6445970.598,2699,NA,672518
8882749,2002,1004074.355,6367198.644,2586,NA,389808
8882766,2002,1004917.904,6368233.473,2347,NA,389716
8889006,2007,972043.442,6424027.807,2542,NA,639447
8897121,2003,947821.42,6461051.407,2536,NA,497628
8898940,2017,998984.4783372,6359305.549115,2213,NA,1361517
8899767,2012,1015498.83,6408564.77,2621,NA,920960
8903033,2009,999417.325,6458078.704,2654,NA,694699
8909183,2013,973409.8489852,6405842.641113,2502,100,1052869
8909184,2013,970731.3375674,6407876.385488,2392,100,1052870
8910535,2008,965852.505,6528745.002,2068,NA,658999
8911080,2008,964705.832,6447642.931,2597,NA,660493
8921360,2008,961873.822,6407313.757,2450,NA,665083
8921949,2009,967828.909,6445661.957,2635,NA,701303
8929993,2004,999227.575,6422477.835,2664,NA,574962
8929994,2004,999302.837,6422319.326,2698,NA,574967
8929999,2004,999124.221,6422227.688,2730,NA,574976
8946432,2006,967340.458,6408613.911,2587,NA,593205
8964719,2010,994003.59,6550749.63,2067,NA,1418410
8970492,2016,991227.015,6472115.748,2793,16,1205620
8970960,2017,932715.863,6456219.436,2412,40,1358884
8971283,2010,971838.72,6403419.797,2605,NA,753710
8971284,2010,969316.395,6436926.032,2304,NA,754366
8971325,2012,1015530.33,6408361.87,2633,25,921535
8971328,2012,1015537.1,6408422.26,2630,15,921582
8972097,2011,1012894.906,6403766.802,2747,NA,876263
8972098,2011,1012951.001,6403773.614,2751,NA,876265
8972963,2008,1009475.775,6482930.218,2795,NA,660668
8973803,1999,1013365.084,6411819.654,2617,NA,407296
8974174,2016,944729.8674532,6464809.909753,2604,40,1203400
8975543,2002,995457.004,6355456.12,2287,30,390568
8976454,2010,971950.748,6514106.321,2060,NA,752643
8976492,2008,969520.461,6446032.313,2779,30,669706
8976533,2008,1021028.638,6407368.389,2391,NA,657344
8976785,2009,994788.755,6517753.858,2553,NA,693174
8976973,2002,1009970.506,6374935.084,2434,12,390159
8977211,2017,932461.328,6455857.69,2384,100,1358882
8977934,2008,986182.054,6418374.924,2676,NA,658769
8978173,2013,953346.411,6446272.8294,2191,25,944804
8978182,2016,932881.43,6456077.45,2391,80,1205056
8978183,2013,948990.2934,6453776.9526,2487,50,954048
8978189,2009,927767.711,6440855.547,2363,NA,692844
8978257,2016,933123.45,6456185.58,2444,30,1205049
8978259,2002,1004216.395,6368123.411,2503,NA,389787
8978303,2016,944704.4233224,6464897.375486,2625,40,1203402
8978675,2013,968218.0068,6415725.3888,2659,25,960913
8978870,2013,948727.6068,6454038.174,2592,25,954057
8979011,1998,997103.751,6500841.907,2391,NA,499812
8979263,2004,1003001.749,6422713.221,2511,NA,574697
8979337,2011,1015572.39,6406809.119,2782,NA,873890
8979398,2011,990341.124,6416374.588,2504,NA,876484
8979579,2008,1009884.554,6484116.594,2709,NA,660681
8979623,2017,932109.414,6456069.449,2368,4,1358661
8979698,2008,964233.138,6447972.938,2438,25,660331
8979771,2017,1021968.66,6407601.12,2661,NA,1371038
8979888,2011,1016580.208,6421678.722,2474,NA,875897
8979891,2011,1016138.826,6422318.911,2548,NA,875854
8979995,2012,1015295.71,6408751.14,2621,20,920946
8980232,2002,1005187.047,6368016.307,2366,NA,389712
8980254,2002,999881.569,6363659.068,2424,NA,389928
8981120,2019,1015522.355,6488240.008,2756,NA,1548510
8981397,2011,1022174.093,6407408.341,2669,NA,866734
8981532,2011,1022026.093,6406913.23,2510,NA,866792
8981651,2007,1008169.118,6391942.63,2537,15,624054
8981652,2007,1008392.058,6391833.493,2561,20,624060
8981987,2014,951666.951,6440670.8106,2623,15,1020025
8982356,2009,944329.151,6433270.018,2136,NA,691883
8983347,2002,1006791.362,6368704.001,2375,NA,389664
8983375,2013,1015075.557,6410317.7274,2403,NA,961193
8983794,2000,1003263.803,6366874.219,2619,NA,387644
8983808,2001,998636.641,6358278.708,2371,NA,388464
8983839,2011,1014483.433,6408128.476,2967,NA,873452
8984136,2008,972108.354,6445410.855,2685,20,669719
8985061,2011,998648.691,6396122.289,2397,NA,874514
8985074,2011,1016317.275,6421932.611,2573,NA,875874
8985079,2011,1007543.475,6423050.782,2613,NA,875989
8985224,2012,1015501.41,6408537.74,2622,30,921668
8985498,2009,996256.74,6483521.301,2517,NA,694966
8986040,2002,950655.098,6415512.482,2334,NA,570441
8986045,2002,950728.557,6415386.378,2344,NA,570444
8986159,2003,975420.164,6403144.291,2329,NA,570759
8986292,2010,992096.096,6379280.631,2313,NA,753670
8986439,2002,995512.878,6353927.263,2445,30,390500
8986474,2004,992969.106,6420359.217,2371,NA,573716
8986508,2004,988943.566,6417650.645,2270,NA,573824
8986519,2016,999303.9873077,6499219.622574,2586,9,1205555
8986569,2004,1004355.553,6422055.608,2570,NA,574719
8986592,2004,1000168.133,6421992.656,2488,NA,574890
8986594,2004,999648.357,6422938.386,2562,NA,574919
8986624,2009,1012073.083,6485088.55,2630,NA,692039
8986652,2008,1004154.464,6512751.239,2541,NA,662941
8987022,2016,983618.1122843,6477320.217724,2482,9,1204927
8987320,2008,964427.335,6448123.273,2437,NA,660554
8987933,2008,964703.667,6447643.839,2597,NA,660495
8988223,2012,1015536.19,6408362.01,2633,10,921530
8988478,2008,1004159.554,6512818.536,2513,NA,662942
8988885,2012,962088.23,6410895.36,2155,NA,921061
8988906,2012,1015371.89,6408554.48,2621,6,921911
8988907,2012,1015423.44,6408460.91,2628,25,921915
8990407,2008,964484.62,6448242.765,2436,NA,660550
8990538,2018,999147.723,6477345.918,2427,40,1461522
8991257,1995,964464.691,6409075.805,2568,NA,392281
8991970,2012,1015543.83,6408357.47,2635,15,921369
8992248,2008,1022095.475,6406675.569,2603,NA,657370
8995424,2012,1015408.57,6408525.5,2621,10,921903
8998488,2008,1004260.923,6512812.55,2517,NA,662939
8998582,2001,950081.063,6405700.201,2233,NA,410239
8998677,2019,1012284.12,6488631.16,2561,NA,1548421
8998700,2009,999681.301,6457759.235,2700,NA,694691
8998763,2017,967353.2836241,6399289.923573,2350,100,1453843
8999206,2018,999683.0178269,6360720.055029,2538,30,1451174
8999208,2017,1007030.109666,6391360.705527,2766,NA,1468251
9000536,2012,947801.2146,6478915.7208,2503,20,922835
9000575,2009,942891.487,6433032.663,2522,NA,691922
9000645,2012,1015471.83,6408470.79,2625,NA,921818
9002855,2011,1021436.807,6407110.105,2447,NA,866770
9003286,2008,1009914.702,6484120.109,2711,NA,660685
9006147,2016,1011888.785469,6495165.855115,2489,9,1205609
9006768,2011,990241.733,6417101.48,2453,NA,874259
9006812,2011,1000095.394,6399102.93,2392,NA,874733
9006936,2002,956438.459,6415552.399,2522,NA,570519
9006954,2002,955849.813,6415417.183,2410,NA,570522
9006976,2002,950791.373,6415471.938,2343,NA,570443
9009099,2004,989052.772,6417523.612,2337,NA,573825
9009323,2004,989616.174,6414135.341,2338,NA,574208
9009412,2004,989976.675,6414570.376,2455,NA,574240
9009570,2004,1002885.301,6422735.582,2545,NA,574695
9009781,2004,999458.287,6422641.031,2630,NA,574929
9009893,2004,988671.425,6416833.488,2597,NA,575276
9010114,2004,1005225.828,6423423.232,2806,NA,575513
9010169,2004,1005254.871,6423629.82,2855,NA,575518
9010179,2004,1005639.183,6422718.906,2690,NA,575552
9010685,2004,991018.678,6419418.286,2514,NA,575728
9012411,2006,972317.947,6444593.631,2631,NA,593260
9012816,2009,956980.051,6428753.63,2069,NA,693384
9014994,2009,945360.76,6466714.173,2162,NA,693734
9015005,2008,1004166.716,6485737.399,2563,NA,657820
9015134,2008,1001387.24,6502242.009,2401,NA,662890
9016419,2017,932714.108,6456241.043,2414,100,1358885
9016501,2010,972488.762,6403166.924,2523,NA,752995
9016673,2011,1005378.954,6420849.646,2678,NA,873739
9016749,2011,992264.91,6410294.91,2196,NA,876347
9017192,1995,964522.166,6409049.223,2571,NA,392280
9017884,2009,957757.538,6416476.162,2841,NA,701297
9017885,2009,963416.544,6399413.221,2188,NA,701307
9017887,2009,963647.187,6399008.703,2319,NA,701309
9018225,2008,957242.679,6427869.088,2330,NA,663616
9018686,2013,949255.3776,6463094.493,2223,80,954116
9019148,2000,966377.764,6444709.11,2504,NA,672476
9019149,2000,966388.457,6444542.492,2524,NA,672477
9020443,2014,951557.22,6440764.0734,2560,50,1020023
9022236,2008,952494.187,6426031.039,2198,NA,663442
9022422,2012,1008368.1156,6504988.437,2729,25,922621
9023708,2002,1000509.521,6360985.41,2370,NA,391188
9024187,2008,971550.376,6398219.048,2160,NA,658497
9024553,2011,1015320.225,6410756.041,2420,NA,873761
9025901,2008,1010035.072,6483942.02,2752,NA,660688
9025903,2008,1009896.773,6508312.897,2476,NA,662777
9025912,2008,993657.441,6457646.998,2500,25,669872
9026065,2009,999198.523,6477115.943,2436,10,698079
9026097,2009,930324.816,6442731.236,2419,NA,694390
9026110,2008,1009897.164,6484104.217,2709,NA,660683
9026112,2008,1010012.773,6483571.626,2813,NA,660689
9026579,2008,992001.943,6457288.601,2620,100,669976
9027144,2002,994891.021,6353755.987,2566,60,390652
9027901,2008,992156.661,6457145.797,2633,25,669984
9027913,2008,952165.574,6446379.505,2265,NA,655890
9027948,2012,972127.03,6457764.38,2244,NA,933979
9027962,2019,1008522.317,6490109.696,2634,NA,1548463
9028052,2013,948962.1732,6453820.9506,2503,50,954050
9028079,2018,948641.017,6430938.727,2685,15,1520174
9028103,2009,961680.902,6432037.886,2428,NA,693429
9028145,2016,962705.7916312,6417343.35204,2388,100,1454075
9028162,2009,945343.43,6466634.463,2199,NA,693743
9028163,2009,945114.232,6465999.198,2426,NA,693768
9028208,2017,932090.409,6456070.961,2368,100,1358660
9028223,2008,986211.752,6418364.279,2672,NA,658776
9028249,2017,944746.852,6453846.243,2626,25,1361628
9028446,2008,950455.67,6437211.024,2743,NA,663931
9028536,2010,944086.616,6462974.73,2415,NA,756101
9028557,2010,944266.062,6463604.987,2332,NA,756124
9028563,2008,964408.657,6448112.472,2436,NA,660555
9028636,2008,964412.488,6448155.654,2434,25,669294
9028639,2002,956142.158,6415845.37,2360,NA,570523
9028658,2013,948374.331,6460893.1458,2517,30,958936
9029709,2013,946684.3692,6473166.0684,2413,NA,939855
9029811,2000,968552.947,6447038.871,2463,NA,672593
9029815,2000,966774.819,6446444.946,2710,NA,672610
9029827,2008,952898.149,6453170.746,2137,NA,663302
9029851,2000,967021.392,6446399.523,2632,NA,672611
9030233,2010,950577.921,6416298.715,2106,NA,791190
9030308,2012,929905.0244132,6430307.197411,2546,100,959155
9030515,2012,951141.33,6476258.48,2157,25,935590
9030930,2011,1000111.263,6399129.713,2388,NA,874734
9031031,2009,1012093.331,6485078.566,2631,NA,692041
9031133,2009,1012462.557,6494621.462,2509,NA,693295
9031592,2011,1015394.543,6407149.463,2734,NA,873887
9031593,2011,1015410.773,6407153.285,2734,NA,873888
9031594,2011,1015425.629,6407156.037,2738,NA,873889
9032476,2000,966685.43,6446545.152,2688,NA,672608
9032479,2000,966773.081,6446501.897,2698,NA,672614
9032481,2000,967095.259,6446643.812,2632,NA,672539
9033259,2018,970542.2989329,6423795.942985,2311,100,1453124
9034743,2008,929327.912,6397533.577,2295,NA,655433
9036422,2012,1015526.72,6408417.79,2630,25,921580
9036472,2009,967057.41,6430157.32,2420,150,697597
9036479,2012,1015740.02,6407712.36,2779,50,935372
9036774,2008,1007657.932,6462603.463,2676,25,669916
9036786,2008,1009575.081,6482680.01,2772,NA,660663
9036797,2008,1020757.957,6482688.658,2525,NA,663385
9036800,2008,993614.759,6457471.864,2486,25,669870
9036806,2009,1015015.733,6487862.163,2751,NA,693100
9036810,2008,1001885.167,6501866.158,2523,NA,662845
9037448,1995,964570.469,6409020.252,2572,NA,392279
9037885,2008,1003691.76,6484931.459,2464,NA,657812
9038080,2008,981570.156,6438452.469,2442,25,669184
9038105,2007,1019910.697,6471177.144,2480,NA,647808
9038343,2008,981572.357,6438231.438,2470,25,669182
9041840,2012,1015497.56,6408509.84,2624,10,921589
9042229,2012,1015529.82,6408547.04,2625,NA,922923
9042700,2017,931343.272,6454365.747,2244,25,1358650
9042737,2009,956967.317,6429389.378,1999,NA,693368
9042877,2009,927804.826,6440829.902,2371,NA,692846
9042878,2009,962381.221,6431743.233,2593,NA,693422
9042891,2000,1003439.991,6366885.722,2629,NA,387645
9042892,2012,940718.6844,6463390.6218,2359,30,925884
9042895,2013,946373.0364,6459051.9894,2052,50,959347
9042957,2000,1003459.368,6366945.714,2642,NA,387649
9043011,2011,934598.011,6455178.247,2524,NA,883653
9043079,2008,960282.183,6437101.462,2396,NA,663632
9043154,2008,994287.841,6459132.842,2609,25,669891
9043183,2010,969247.913,6436637.924,2346,NA,754354
9047233,2011,996492.7368,6544035.9456,2125,12,937570
9047290,2009,946495.245,6450143.09,2865,NA,691804
9047316,2016,932423.16,6455827.2,2389,100,1205060
9047453,2002,1000315.868,6363896.998,2609,NA,389921
9047728,2008,1006871.602,6392118.134,2561,NA,659981
9048491,2011,1015092.317,6410789.577,2396,NA,864347
9048588,2011,1021500.35,6407207.467,2447,NA,866707
9048600,2011,1022260.335,6407466.843,2711,NA,866728
9048997,2012,947532.24,6466358.66,2113,25,925465
9049945,2008,1021145.558,6407330.355,2409,NA,657345
9049946,2008,1021988.704,6406904.296,2510,NA,657357
9049950,2008,1022263.124,6406499.032,2760,NA,657424
9050344,2014,945367.5828,6455877.0822,2519,12,1030557
9053403,2011,1005116.967,6421152.074,2734,NA,873746
9053463,2011,1006774.136,6400189.568,2556,NA,874932
9053507,2009,963651.054,6399238.996,2227,NA,701308
9053508,2009,963215.671,6398720.381,2422,NA,701311
9053519,2010,962754.618,6417312.962,2391,NA,791047
9053921,2012,1015499.37,6408561.3,2622,10,921667
9054684,2009,966614.917,6413774.788,2500,15,698015
9055706,2008,980711.984,6437910.369,2506,25,669155
9055713,2008,963459.144,6448489.264,2626,50,669311
9055993,2002,955164.512,6415763.293,2232,NA,570343
9056080,2002,956487.975,6415474.396,2575,NA,570517
9056106,2002,954887.765,6415596.911,2204,NA,570584
9056167,2002,955607.976,6415494.312,2295,NA,570598
9056168,2002,955541.381,6415415.55,2292,NA,570600
9056614,2016,991526.792,6470850.071,2624,9,1204937
9056703,2016,1017950.436915,6485068.110514,2755,9,1205489
9056713,2013,1021211.373,6481839.285,2515,NA,959454
9056870,2012,951429.27,6476387.01,2088,36,935542
9057389,2008,971248.186,6397162.285,2417,NA,658553
9057516,2016,991032.438,6472173.127,2800,9,1204940
9057519,2016,983784.1165326,6476202.631491,2296,9,1205540
9057523,2016,1010064.51673,6495181.570362,2314,9,1205611
9057661,2004,1004384.787,6421777.812,2647,NA,574723
9057708,2008,992741.1,6457799.772,2496,25,669970
9057783,2008,1001876.211,6478845.303,2672,NA,660629
9057943,2004,999804.373,6422507.555,2583,NA,574905
9057981,2008,1002446.199,6466907.923,2598,15,669857
9057982,2008,1007829.808,6462918.235,2638,25,669925
9057993,2011,963191.455,6490488.072,2530,NA,877573
9058035,2004,1005361.102,6423263.725,2792,NA,575521
9058036,2004,1005830.482,6423420.852,2864,NA,575527
9058233,2008,1000478.584,6457876.896,2539,15,669793
9058450,2004,991042.147,6419434.391,2524,NA,575729
9058669,2015,950560.2241031,6416313.564564,2103,100,1206391
9059035,2002,974228.257,6403327.041,2692,NA,570418
9059062,2002,955358.756,6416778.699,2289,NA,570553
9059139,2004,987737.706,6412941.687,2359,NA,573338
9059315,2004,990131.576,6409901.221,2181,NA,573878
9059467,2004,999572.053,6422570.441,2598,NA,574932
9059475,2004,1000151.057,6423071.66,2561,NA,574957
9063376,2008,971528.703,6397598.718,2363,NA,658523
9065065,2000,965929.348,6444580.837,2674,NA,672494
9065071,2000,966451.57,6444873.351,2457,NA,672507
9065075,2000,965171.877,6445926.056,2726,NA,672519
9065076,2000,965155.239,6446033.394,2725,NA,672520
9068423,1995,964614.917,6408998.122,2571,NA,392277
9075234,2000,967029.614,6445845.623,2690,NA,672450
9075246,2000,967136.178,6445742.158,2661,NA,672452
9075258,2000,964633.946,6446136.202,2875,NA,672415
9075276,2000,966227.467,6444922.763,2522,NA,672506
9075283,2000,965241.165,6445880.995,2705,NA,672517
9079325,2012,1015291.69,6408750.57,2621,NA,920950
9081645,2012,1015448.56,6408444.96,2627,NA,921783
9081779,2012,1015465.18,6408460.87,2627,NA,921787
9082687,2012,1015384.91,6408538.05,2621,NA,922976
9093172,2013,1018321.7274,6414584.778,2537,100,961377
9093173,2013,1018253.3808,6414366.42,2616,15,961381
9093181,2011,1006853.29,6400120.386,2575,NA,874933
9093182,2011,992246.347,6409182.22,2174,NA,874956
9093194,2001,950004.878,6405696.152,2249,NA,410240
9093458,2012,1015530.94,6408546.88,2625,6,921681
9093464,2012,1015397.64,6408531.4,2621,20,921904
9093710,2017,964400.5381526,6435435.031214,2844,100,1453813
9093838,2012,1015441.31,6408505.61,2622,NA,922969
9093895,2011,965605.7671555,6414867.477509,2487,100,959050
9094076,2018,959308.873,6430405.82,2458,80,1519317
9094837,2008,953579.529,6424161.334,2603,NA,663535
9094885,1995,964308.807,6408849.086,2525,NA,392227
9094915,2018,950456.012,6456801.11,2610,50,1518938
9095737,2012,935368.3938,6460440.0336,2546,70,925256
9097158,2011,1016053.376,6422824.032,2499,NA,875849
9097161,2008,980162.539,6451961.516,2941,50,669478
9097176,2011,1013183.63,6404805.201,2741,NA,876274
9097604,2011,1021925.869,6407001.156,2503,NA,866776
9098928,2009,991808.734,6486715.39,2300,NA,694276
9099787,2008,1004540.678,6456731.206,2610,NA,660139
9099800,2011,1014733.755,6408728.623,2829,NA,873434
9100446,2018,990867.641,6470334.064,2319,70,1486944
9100455,2016,933080.24,6456168.06,2430,100,1205048
9100478,2018,950839.295,6457705.808,2503,30,1518810
9100543,2017,932129.213,6456080.304,2371,15,1358668
9100627,2008,1020929.141,6407470.381,2368,NA,657337
9101785,2013,948535.6554,6461488.3704,2417,25,954128
9102572,2011,1001822.457,6419492.522,2743,NA,873850
9103265,1999,1015551.465,6408523.654,2629,NA,406342
9104257,2008,976140.513,6414346.137,2310,NA,666216
9105271,2002,950655.098,6415512.482,2334,NA,410642
9106684,2002,955364.002,6415606.379,2242,NA,410796
9110208,2019,1014928.757,6488209.664,2704,NA,1548393
9110267,2019,1008912.72,6490129.25,2624,NA,1548470
9124221,2017,1021733.7,6407726.175,2620,10,1370667
9128603,1993,940211.829,6432837.596,2400,NA,428327
9130151,2004,997790.262,6424986.915,2393,NA,574588
9130984,2013,948766.1616,6453977.1432,2563,25,954054
9142906,2000,967054.517,6446569.026,2628,NA,672552
9144626,2012,1015445.82,6408452.01,2627,NA,922948
9148540,2013,952640.4894,6445851.024,2274,10,944309
9148543,2014,937599.5210684,6435725.825839,2489,100,1053095
9148644,2003,964243.994,6408560.187,2495,NA,571186
9155754,2002,954887.765,6415596.911,2204,NA,410785
9158111,2019,986136.6846715,6476411.667081,2476,16,1552438
9158717,2009,946535.353,6431103.258,2575,NA,701300
9159272,2013,948472.1292,6461589.3006,2392,40,958958
9165022,2002,1015506.926,6408557.437,2622,30,410597
